Produktnamn (inga förkortningar! Fullständiga namn);Leverantör;Leverantörens Art.nr;Tillverkare;Tillverkarens Art.nr;EAN;Inköpspris exkl moms;Rek.pris exkl moms;RSK;Fraktkostnad, kronor (dropship);Permanent i lager? (ja/nej);Beställningsvara (ja/nej);Leveranstid (dagar);Vikt (gram);Säljes i st eller i set;Produktkategori;Produktkategori;Produktkategori;Sammanfattning av produkt (kort text);Produktbeskrivning (lång text);Länk till monteringsbeskrivning;Länk till produktblad;Produktbild (länk);Produktbild (länk);Produktbild (länk);Miljöbild (länk);Miljöbild (länk);Miljöbild (länk)
Boren Köksblandare;NGL Sweden AB;147007;;;;;1480;8312393;;;;;;;Köksblandare;;;Köksblandare rostfri med rak pip;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8312393_Boren_köksblandare;;;;;
Sommen Köksblandare;NGL Sweden AB;147013;;;;;1480;8312392;;;;;;;Köksblandare;;;Köksblandare rostfri med svängd pip;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med kulled och höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8312392_Sommen_köksblandare;;;;;
Boren Köksblandare;NGL Sweden AB;147016;;;;;1680;8312391;;;;;;;Köksblandare;;;Köksblandare rostfri med rak pip, diskamaskinsavstängning;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8312393_Boren_köksblandare;;;;;
Sommen Köksblandare;NGL Sweden AB;147019;;;;;1680;8312390;;;;;;;Köksblandare;;;Köksblandare rostfri med svängd pip, diskmaskinsavstängning;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med kulled och höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8312392_Sommen_köksblandare;;;;;
Boren Köksblandare;NGL Sweden AB;148007;;;;;2436;8312389;;;;;;;Köksblandare;;;Köksblandare rostfri med rak pip, vattenspar;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8312393_Boren_köksblandare;;;;;
Sommen Köksblandare;NGL Sweden AB;148013;;;;;2436;8310249;;;;;;;Köksblandare;;;Köksblandare rostfri med svängd pip, vattenspar;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med kulled och höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8312392_Sommen_köksblandare;;;;;
Boren Köksblandare;NGL Sweden AB;148016;;;;;2636;8310250;;;;;;;Köksblandare;;;Köksblandare rostfri med rak pip, diskmasinsavstängning, vattenspar;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8312393_Boren_köksblandare;;;;;
Sommen Köksblandare;NGL Sweden AB;148019;;;;;2636;8310251;;;;;;;Köksblandare;;;Köksblandare rostfri med svängd pip, diskmaskinsavstängning, vattenspar;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med kulled och höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8312392_Sommen_köksblandare;;;;;
Maren Tvättställsblandare Beröringsfri;NGL Sweden AB;148919;;;;;3592;8276421;;;;;;;Tvättställsblandare;;;Tvättställsblandare beröringsfri;Tvättställsblandare i rostfritt stål. Systemet drivs av vatten med hjälp av en mikro-turbin, vilket eliminerar behovet av batteri eller elektrisk inkoppling. Blandningsventilen i rostfritt stål som medföljer möjliggör justering av temperaturen via ett vred monterat under bänken för enkel hantering av varm- och kallvattenförsörjning. Hydropowersensorn säkerställer övervakning och optimering av driften. Selfpowersystemet inkluderar ett elektriskt chip som initialt aktiverar sensorn, samt en liten vattenkraftgenerator som driver systemet efter aktivering.;;;8276421-Maren_tvättställ;;;;;
Sparstrålsamlare köksblandare;NGL Sweden AB;410113;;;;;540;8310256BF;;;;;;;Vattenbesparing;;;Sparstrålsamlare köksblandare  M22x1,0;Sparar vatten med ejektorverkan, vilket bibehåller sköljkomforten. NGL sparstrålsamlare ökar vattenhastigheten och blandar in luft redan vid låga flöden. Det innebär 30-50 procents mindre vattenflöde utan att de sköljande egen­skaperna försämras. Vid sköljning med en modern köksblandare är ett vanligt flöde 6-10 liter per minut och med vår sparstrålsamlare 3-5 liter per minut. Maxflödet behöver inte begränsas och vattenstrålen känns rikligare och ymnigare. Strålsamlarnas högklassiga funktion i kombination med kulled upplevs direkt som en höjd standard, oavsett typ av blandare, ålder och fabrikat.;;;8310256-NGL-22;;;;;
Sparstrålsamlare köksblandare;NGL Sweden AB;410134;;;;;540;8310257BF;;;;;;;Vattenbesparing;;;Sparstrålsamlare köksblandare M24x1,0;Sparar vatten med ejektorverkan, vilket bibehåller sköljkomforten. NGL sparstrålsamlare ökar vattenhastigheten och blandar in luft redan vid låga flöden. Det innebär 30-50 procents mindre vattenflöde utan att de sköljande egen­skaperna försämras. Vid sköljning med en modern köksblandare är ett vanligt flöde 6-10 liter per minut och med vår sparstrålsamlare 3-5 liter per minut. Maxflödet behöver inte begränsas och vattenstrålen känns rikligare och ymnigare. Strålsamlarnas högklassiga funktion i kombination med kulled upplevs direkt som en höjd standard, oavsett typ av blandare, ålder och fabrikat.;;;8310257-NGL-24;;;;;
510 BF-Unifloat, universal inloppsventil;NGL Sweden AB;420010;;;;;636;7887072BF;;;;;;;WC;Reservdel;;NGL-510 Unifloat, universal inloppsventil för WC, under och sidoanslutna;"NGL-510 Unifloat är en innovativ och miljöanpassad universal flottörventil som ersätter befintliga ventiler i de flesta WC-stolar. Produkten är tillverkad i Sverige och passar både underkopplad och sidokopplad tack vare sin patenterade, justerbara anslutning i komposit/metallersättning. Enkel att montera och utrustad med ett unikt, lättdemonterat filtersystem för enkel rengöring. Flottörventilen kan flödesbegränsas för tyst drift oavsett vattentryck och bidrar till sänkta vattenkostnader. Byggd i miljövänligt material och klassad A i SundaHus. Anslutning: 1/2"". Passar utmärkt tillsammans med NGL Duospol för flexibel spolningsvolym.";;;7887072-NGL-510 Unifloat;;;;;
700 BF-Duospol universal;NGL Sweden AB;420213;;;;;668;7887070BF;;;;;;;WC;Reservdel;;NGL 700 – Duospol Universal utloppsanordning för WC;NGL 700 Duospol Universal är en spolventil för WC som ger effektiv och kraftfull spolning. Den har justerbar enkel- och dubbelspolning, vilket gör att vattenmängden kan anpassas efter cisternens volym och avloppsstandard. Detta ger optimal rengöring och minskar risken för stopp, samtidigt som vattenförbrukningen kan minskas. NGL 700 är enkel att montera och passar de flesta WC-stolar. Konstruktionen med dragstänger i rostfritt stål ger lång livslängd och driftsäkerhet. Produkten är A-klassad i SundaHus miljödatabas och levereras med utförlig montageanvisning för flertalet modeller av toaletter. Duospol är utprovad av SP, Sveriges Provnings- & Forskningsinstitut för 25-års användning i offentlig miljö.;;;7887070-NGL-700;;;;;
Boren Tvättställsblandare;NGL Sweden AB;1471045;;;;;1340;8276414;;;;;;;Tvättställsblandare;;;Tvättställsblandare Boren rostfri, Maxflöde 4,5l/min, höjd 171mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8276414-Boren_tvättställ;;;;;
Boren Tvättställsblandare;NGL Sweden AB;1471047;;;;;2268;8276415;;;;;;;Tvättställsblandare;;;Tvättställsblandare rostfri, Maxflöde 4,5l/min, Höjd 158mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8276415-Roxen_tvättställ;;;;;
Glan Tvättställsblandare;NGL Sweden AB;1471049;;;;;2868;8276417;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Maxflöde 4,5l/min, Höjd 201mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8276417_Glan_tvättställ;;;;;
Sommen Tvättställsblandare;NGL Sweden AB;1471050;;;;;1548;8276419;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Maxflöde 4,5l/min, Höjd 166mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8276419-Sommen_tvättställ;;;;;
Roxen Tvättställsblandare;NGL Sweden AB;1471147;;;;;3328;8276416;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Hög, Maxflöde 4,5l/min, Höjd 296mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8276416_Roxen_hög;;;;;
Glan Tvättställsblandare;NGL Sweden AB;1471149;;;;;4188;8276418;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Hög, Maxflöde 4,5l/min, Höjd 338mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8276418_Glan_hög;;;;;
Sommen Tvättställsblandare;NGL Sweden AB;1471150;;;;;2380;8276420;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, hög, Maxflöde 4,5l/min, Höjd 297mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8276420_Sommen_hög;;;;;
Boren Takduschset;NGL Sweden AB;1471510;;;;;6020;8283697;;;;;;;Dusch;;;Takduschset rostfri c/c 150 rund;"Duschsystem med termostat i gediget rostfritt stål SS304. Takdusch och handdusch. Blandaren är tryckbalanserad. Duschanslutning 1/2"" på undersidan. Inkluderar excenter koppling c/c150 - c/c 160.";;;8283697_Boren_takdusch;;;;;
Roxen Takduschset;NGL Sweden AB;1471512;;;;;6424;8283698;;;;;;;Dusch;;;Takduschset rostfri c/c 150 fyrkantig;"Duschsystem med termostat i gediget rostfritt stål SS304. Takdusch och handdusch. Blandaren är tryckbalanserad. Duschanslutning 1/2"" på undersidan. Inkluderar excenter koppling c/c150 - c/c 160.";;;8283698_Roxen_takdusch;;;;;
Boren Tvättställsblandare;NGL Sweden AB;1481045;;;;;1752;8276082;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Vattenspar, Sköljflöde 3-4l/min, Höjd 171mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8276414-Boren_tvättställ;;;;;
Roxen Tvättställsblandare;NGL Sweden AB;1481047;;;;;2680;8276073;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Vattenspar, Sköljflöde 3-4l/min, Höjd 158mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8276415-Roxen_tvättställ;;;;;
Glan Tvättställsblandare;NGL Sweden AB;1481049;;;;;3280;8276080;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Vattenspar, Sköljflöde 3-4l/min, Höjd 201mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8276417_Glan_tvättställ;;;;;
Sommen Tvättställsblandare;NGL Sweden AB;1481050;;;;;1960;8276083;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Vattenspar, Sköljflöde 3-4l/min, Höjd 166mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8276419-Sommen_tvättställ;;;;;
Boren Badkarsblandare;NGL Sweden AB;1481075;;;;;2220;8242515;;;;;;;Dusch;;;Badkarsblandare Rostfri, 1-grepp;"Badblandaren NGL Boren RF har manöverspak (1-gr) monterad på mitten. Gediget rostfritt stål SS304. Dragomkastare och duschanslutning nedåt, 1/2"". Excenter 150-160 medföljer. Keramisk tätning.";;;8242515_Boren_badkarsblandare;;;;;
Boren Duschtermostat;NGL Sweden AB;1481096;;;;;3032;8350377;;;;;;;Dusch;;;Duschtermostat, rund c/c 150;"Duschblandare med termostat i gediget rostfritt stål SS304. Blandaren är tryckbalanserad. Duschanslutning 1/2"" på undersidan. Inkluderar excenter koppling c/c150 - c/c 160.";;;8350377_Boren_duschtermostat;;;;;
Roxen Duschtermostat;NGL Sweden AB;1481099;;;;;3500;8350378;;;;;;;Dusch;;;Duschtermostat, fyrkatig c/c 150;"Duschblandare med termostat i gediget rostfritt stål SS304. Blandaren är tryckbalanserad. Duschanslutning 1/2"" på undersidan. Inkluderar excenter koppling c/c150 - c/c 160.";;;8350378_Roxen_duschtermostat;;;;;
Boren Dusch/Spolblandare;NGL Sweden AB;1481103;;;;;1800;8352014;;;;;;;Dusch;;;Duschblandare, c/c 150;"Duschblandaren NGL Boren RF har manöverspak (1-gr) monterad på mitten. Gediget rostfritt stål SS304 Duschanslutning nedåt, 1/2"". Excenter 150-160 medföljer. S-pip kan även monteras i t.ex kök, storkök etc.Keramisk tätning.";;;8352014_Boren_1gr;;;;;
Roxen Tvättställsblandare;NGL Sweden AB;1481147;;;;;3740;8276079;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Hög, Vattenspar, Sköljflöde 3-4l/min, Höjd 296mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8276416_Roxen_hög;;;;;
Glan Tvättställsblandare;NGL Sweden AB;1481149;;;;;4600;8276081;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Hög, Vattenspar, Sköljflöde 3-4l/min, Höjd 338mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8276418_Glan_hög;;;;;
Sommen Tvättställsblandare;NGL Sweden AB;1481150;;;;;2792;8276084;;;;;;;Tvättställsblandare;;;Tvättställsblandare Rostfri, Hög, Vattenspar, Sköljflöde 3-4l/min, Höjd 297mm;"Tvättställsblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8276420_Sommen_hög;;;;;
Boren Takduschet;NGL Sweden AB;1481510;;;;;6792;8283573;;;;;;;Dusch;;;Takdusch rostfri,  c/c 150, rund, vattenspar;"Duschsystem med termostat i gediget rostfritt stål SS304. Takdusch och sparhanddusch. 436 & 821.Blandaren är tryckbalanserad. Duschanslutning 1/2"" på undersidan. Inkluderar excenter koppling c/c150 - c/c 160.";;;8283697_Boren_takdusch;;;;;
Roxen Takduschet;NGL Sweden AB;1481512;;;;;7192;8283574;;;;;;;Dusch;;;Takdusch rostfri,  c/c 150, fyrkantig, vattenspar;"Duschsystem med termostat i gediget rostfritt stål SS304. Takdusch och sparhanddusch. 436 & 821.Blandaren är tryckbalanserad. Duschanslutning 1/2"" på undersidan. Inkluderar excenter koppling c/c150 - c/c 160.";;;8283698_Roxen_takdusch;;;;;
Boren Pop-up - Bottenventil;NGL Sweden AB;1491116;;;;;520;8555502;;;;;;;Tvättställsblandare;Tillbehör;;Bottenventil;Bottenventil till tvättställ. Tillverkad i rostfritt stål. Passar för breddavlopp såval som utan.;;;8555502_Boren_bottenventil;;;;;
NGL-22/9 Sparstrålsamlare;NGL Sweden AB;110113;;;;;;;;;;;;;Vattenbesparing;;;Sparstrålsamlare köksblandare M22x1,0;Sparar vatten med ejektorverkan, vilket bibehåller sköljkomforten. NGL sparstrålsamlare ökar vattenhastigheten och blandar in luft redan vid låga flöden. Det innebär 30-50 procents mindre vattenflöde utan att de sköljande egen­skaperna försämras. Vid sköljning med en modern köksblandare är ett vanligt flöde 6-10 liter per minut och med vår sparstrålsamlare 3-5 liter per minut. Maxflödet behöver inte begränsas och vattenstrålen känns rikligare och ymnigare. Strålsamlarnas högklassiga funktion i kombination med kulled upplevs direkt som en höjd standard, oavsett typ av blandare, ålder och fabrikat.;;;8310256-NGL-22;;;;;
NGL 24/9 – Sparstrålsamlare;NGL Sweden AB;110134;;;;;;;;;;;;;Vattenbesparing;;;Sparstrålsamlare köksblandare M24x1,0;Sparar vatten med ejektorverkan, vilket bibehåller sköljkomforten. NGL sparstrålsamlare ökar vattenhastigheten och blandar in luft redan vid låga flöden. Det innebär 30-50 procents mindre vattenflöde utan att de sköljande egen­skaperna försämras. Vid sköljning med en modern köksblandare är ett vanligt flöde 6-10 liter per minut och med vår sparstrålsamlare 3-5 liter per minut. Maxflödet behöver inte begränsas och vattenstrålen känns rikligare och ymnigare. Strålsamlarnas högklassiga funktion i kombination med kulled upplevs direkt som en höjd standard, oavsett typ av blandare, ålder och fabrikat.;;;8310257-NGL-24;;;;;
NGL 05/6- Sparstrålsamlare;NGL Sweden AB;110031;;;;;;;;;;;;;Vattenbesparing;;;Sparstrålsamlare tvättställ M24x1.0;Utvändig gänga M24x1.0 för tvättställ. Sparar vattten med ejektorverkan, vilket bibehåller sköljkomforten.;;;8310268BF_NGL_05_6;;;;;
